School,Trilogy,Date,Course,Location,Verified,Overall Exp.,Curriculum,Instructors,Job Assistance,Comments,Word Count,Life-Change
GENERAL ASSEMBLY,NON-TRILOGY,8/20/2017,    Web Development Immersive ,    Sydney , LinkedIn,5,5,5,5,"I enrolled in the WDI of GA because I wanted to learn how to create websites. In the 3 months I was with them the instructor taught us everything we needed to know and more. GA does a spectacular job of providing support to its students and creating a fun and lively ambience for students to learn. I highly recommend the course to anyone who wants to learn web development.",70,0
GENERAL ASSEMBLY,NON-TRILOGY,8/17/2017,    Web Development Immersive ,    Sydney , LinkedIn,5,5,5,5,"The course is very well structured and challenging. GA have the best instructors and the best supporting staff they make the learning experience so much fun. I learned so much in such a short period of time and I enjoyed every moment of the course.",43,0
GENERAL ASSEMBLY,NON-TRILOGY,8/10/2017,    User Experience Design (Part-time) ,    Sydney , LinkedIn,5,5,5,0,"I've worked in the digital industry for 15 years but was feeling a bit flat. I finally had the headspace (after having 2 kids) to start thinking about my career again and wanted to fill in the gaps and get up to speed. That was my intention... but what happened exceeded expectations. I had used the 'tools of the trade' before and had even freelanced as a UX designer. But this course gave me a better understanding of the WHY and HOW to turn all the bits of information into actionable insights and using that to inform the design process. It was challenging and empowering to break old habits and to focus so much energy on making sure you are solving the 'right' problem before allowing yourself to move into solution mode. Seeing classmates go through their own 'aha' moments was really interesting as was the breadth of final presentations and hearing all the challenges and pivot moments. We had an extremely supportive group of teachers teaching aids and classmates. Two months on and I am loving my job. Applying the 'process' of UX to my current work has been immensely satisfying and achieving much better results. Instead of using the 'tools' in an ad hoc manner I have the confidence to communicate the entire process as part of risk management and get more engagement from stakeholders. Instead of being reactive when somebody tells me they need a solution that does XYZ I can use the UX language to find out more about the 'suspected problem' so we can move through the various stages to make sure we are solving the right problem before we even start thinking about the solution. I could go on and on. ",282,0
GENERAL ASSEMBLY,NON-TRILOGY,7/22/2017,    Product Management Immersive ,    Sydney , LinkedIn,4,4,4,3,"A well run course pitched primarily at the entry level for Digital Product Managers.  The presenter did a great job of presenting the key principles in a fresh and lively manner and illustrated many key points with some real world examples.  The class members were energetic fun and made solid contributions to learning for everyone.  Final group project added an extra dimension to learning and it was practical and fun.  A great way for me to get a refresh on some key Product Management principles and upskill on more digitally focussed areas. ",92,0
GENERAL ASSEMBLY,NON-TRILOGY,6/6/2017,    Web Development Immersive ,    New York City , GitHub,5,5,5,0,"I took WDI from March to June of 2015. I previously had a job in community relations but felt uninspired by my day-to-day (I just hated it). I tried out some free resources on Codecademy and applied to several bootcamps. After checking a few out I liked the campus and curriculum at General Assembly the best.About two years later - no regrets. I love programming and GA gave me what I needed to do this as a career! My teachers were fantastic passionate and gifted with coding and educational chops. It was VERY stressful at times but I loved working together with my classmates to get to \'the next level\' so to speak.My only note is that I had a job lined up before graduation so I don't have experience with the career coaching so much.",135,0
GENERAL ASSEMBLY,NON-TRILOGY,5/11/2017,    User Experience Design Immersive ,    Singapore , LinkedIn,5,5,5,4
GENERAL ASSEMBLY,NON-TRILOGY,3/12/2017,    Data Analytics (Part-time) ,    London , LinkedIn,5,5,5,4,"I took the Data Analytics part-time course in London. The program consists of learning the process of data analysis and practical skills to perform data analysis. Nowadays for online business marketing & data analysis tend to become a one-person job as campaigns can be optimised in real time based on their performances. This program gives you a set of skills that aren't taught at the university if you studied broad subjects like marketing or business.The theoretical part was very useful for me to understand what is the best approach before to do a specific analysis. How to prepare the business questions and choose a data set.Then we did many exercises using Excel SQL Tableau to learn how to leverage those tools to make the analysis and provide great data insights.What makes me satisfied is that I could use at work the next day what I had learned at night. I also met interesting passionate and motivated people. In my group there was people from many industries (Finance online business offline business ...). ",169,0
GENERAL ASSEMBLY,NON-TRILOGY,3/3/2017,    Product Management Immersive ,    San Francisco , LinkedIn,5,4,5,5,"Great Product Management course for a med device product manager. Learned enough to understand how I could improve my job today and where I could keep improving.",27,0
GENERAL ASSEMBLY,NON-TRILOGY,1/5/2017,    Data Science (Part-time) ,    Sydney , GitHub,5,4,5,4,"The Data Science course at GA was excellent!As anyone who has any prior knowlege of the field would expect the curriculium is quite broad and as a result the part-time course does not go in depth in any areas but rather takes you through the basics in as many areas as it can in 10 weeks. I imagine the full-time course would provide a more conclusive education but i can't really comment on that.Even though I would not recommend the part-time course to people looking for a conclusive education it was invaluable to me and will be to people looking to explore the options available in the Data Science profession. The part-time course does not pretend to give you all the tools you need to succeed in the industry. Instead GA has clearly realised that would be cramming too much into too little time and have structured the course to give you a good introduction to each area of Data Science and provide you with enough information to get you started on your own educational journey.This course will provide you with the basic knowlege of tools concepts and processes needed to get started with your own exploration and an excellent environment to ask questions and network with like-minded professionals.I would recommend this course to anyone who is interested in getting started in Data Science but doesn't know where to start and what's involved.",233,0
GENERAL ASSEMBLY,NON-TRILOGY,8/20/2017,    User Experience Design Immersive ,    London ,,5,5,5,0,"I am a graduate of the User Experience Design Immersive Course in London from May-July 2017. I originally was on the February 2017 intake but had to pull out in Week 3 due to a sudden illness. While I was recovering in hospital they could not have treated me any better and offered me whatever options I wanted to take. I then re-started the course in May when I had recovered and am now in the job search phase of it. So far the job support has been quality and you are going to get out of it what you put in - but it's important to note that the support is there. The course itself is fast-paced full on and requires your 100% commitment - and I wouldn't want it any other way. We had an experienced senior UX Designer as our teacher and if we had any feedback we were constantly encouraged to speak up. It was a positive learning environment (but it did help that we had a classroom full of students that handled the pressure cooker well). If you are unsure about General Assembly - they are top notch and are worth the investment. But if you are deciding on a career change like I did make sure you go to the many free open nights and speak to the team there to see if it's right for you. And if it is - go for it!",235,0
